PARK,AREA,CLUBNAME,LEAGUE,
FR. COLLINS,NORTH CENTRAL,CLARE HALL CELTIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
JOHN PAUL,CENTRAL,DINGLE UNITED,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
JOHN PAUL,CENTRAL,BEGGSBORO AFC SCHOOLBOYS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
JOHN PAUL,CENTRAL,BEGGSBORO A.F.C,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
JOHNSTOWN,NORTH WEST,TOLKA ROVERS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
KILDONAN,NORTH WEST,W.F.T.A. S/BOYS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
LE FANU ,SOUTH CENTRAL,BALLYFERMOT UTD,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
LE FANU ,SOUTH CENTRAL,CHERRY ORCHARD FC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
MARKIEVICZ ,SOUTH CENTRAL,DRUMFINN CELTIC F.C,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
MARTIN SAVAGE ,CENTRAL,PHOENIX F.C,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
OSCAR TRAYNOR,NORTH CENTRAL,ST. KEVINS BOYS CLUB,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
RINGSEND,SOUTH EAST,PEARSE RANGERS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
RINGSEND ,SOUTH EAST,CAMBRIDGE BOYS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
RINGSEND ,SOUTH EAST,ST. PATRICKS CY SCHOOLBOYS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
STANNAWAY ,SOUTH CENTRAL,ST. TERESAS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
STREAMVILLE,NORTH CENTRAL,CLARE HALL CELTIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
SUNDRIVE ,SOUTH CENTRAL,LOURDES CELTIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
TOLKA VALLEY,NORTH WEST,RIVERMOUNT BOYS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,ST. PATRICKS ATHLETIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BENMADIGAN,SOUTH CENTRAL,ST. JOHN BOSCO,DUBLIN DISTRICT SCHOOLBOYS LEAGUE/LEINSTER SENIOR LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,ST. JOHN BOSCO,DUBLIN DISTRICT SCHOOLBOYS LEAGUE/LEINSTER SENIOR LEAGUE,
POPPINTREE ,NORTH WEST,BALLYMUN UNITED F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE/ATHLETIC UNION LEAGUE,
POPPINTREE NORTH,NORTH WEST,BALLYMUN UNITED F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE/ATHLETIC UNION LEAGUE,
PEARSE PARK,SOUTH CENTRAL,CRUMLIN UNITED,DUBLIN DISTRICT SCHOOLBOYS LEAGUE/LEINSTER SENIOR LEAGUE,
ST ANNES ,NORTH CENTRAL,RAHENY UNITED,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,NORTH DUBLIN SCHOOLBOYS LEAGUE,ATHLETIC UNION LEAGUE",
KILDONAN,NORTH WEST,FINGLAS CELTIC F.C.,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
DONNYCARNEY,NORTHCENTRAL,KILLESTER UTD. F.C.,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
EDENMORE,NORTH CENTRAL,ST. MALACHYS EDENMORE F.C.,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
LEIN ROAD,NORTH CENTRAL,ST. PAULS ARTANE,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
MC AULEY,NORTH CENTRAL,ST. PAULS ARTANE,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
SPRINGDALE,NORTH CENTRAL,ST. MALACHYS EDENMORE F.C.,"DUBLIN DISTRICT SCHOOLBOYS LEAGUE,,ATHLETIC UNION LEAGUE",
FR. COLLINS,NORTH CENTRAL,TRINITY/DONAGHMEDE F.C.," DUBLIN DISTRICT SCHOOLBOYS LEAGUE,LEINSTER SENIOR LEAGUE",
STANNAWAY,SOUTH CENTRAL,CASHEL CELTIC," DUBLIN DISTRICT SCHOOLBOYS LEAGUE,LEINSTER FOOTBALL LEAGUE",
WALKINSTOWN,SOUTH WEST,ST. CATHERINES L.F.C,DUBLIN WOMENS SOCCER LEAGUE,
BELCAMP,NORTH CENTRAL,PARNELLS GAA,GAELIC ATHLETIC ASSOCIATION,
ST. ANNES,NORTH CENTRAL,PARNELLS GAA,GAELIC ATHLETIC ASSOCIATION,
ALBERT COLLEGE,NORTH WEST,NA FIANNA G.A.A .,GAELIC ATHLETIC ASSOCIATION,
ALBERT COLLEGE ,NORTH WEST,BALLYMUN KICKHAMS,GAELIC ATHLETIC ASSOCIATION,
BALCURRIS PARK,NORTH WEST,SETANTA,GAELIC ATHLETIC ASSOCIATION,
BUSHY,SOUTH CENTRAL,TEMPLEOGUE  SYNGE ST. G.A.A,GAELIC ATHLETIC ASSOCIATION,
BUSHY,SOUTH CENTRAL,RANELAGH GAELS,GAELIC ATHLETIC ASSOCIATION,
BUSHY,SOUTH CENTRAL,KEVINS HURLING  CLUB,GAELIC ATHLETIC ASSOCIATION,
DONAGHMEDE,NORTH CENTRAL,TRINITY GAELS,GAELIC ATHLETIC ASSOCIATION,
DONNYCARNEY ,NORTHCENTRAL,CRAOBH CHIARAIN,GAELIC ATHLETIC ASSOCIATION,
ELLENFIELD,NORTHCENTRAL,WHITEHALL COLMCILLE,GAELIC ATHLETIC ASSOCIATION,
FAIRVIEW,NORTH CENTRAL,ST. VINCENTS G.A.A,GAELIC ATHLETIC ASSOCIATION,
FAIRVIEW,NORTH CENTRAL,SCOIL UI CHONAILL,GAELIC ATHLETIC ASSOCIATION,
FAIRVIEW ,NORTH CENTRAL,ST. JOSEPHS/O'CONNELL BOYS,GAELIC ATHLETIC ASSOCIATION,
FARNHAM,NORTH WEST,ERINS ISLE G.A.A.,GAELIC ATHLETIC ASSOCIATION,
FR. COLLINS,NORTHWEST,TRINITY GAELS,GAELIC ATHLETIC ASSOCIATION,
GALTYMORE ,SOUTH CENTRAL,GOOD COUNSEL G.A.A.,GAELIC ATHLETIC ASSOCIATION,
JOHN PAUL,CENTRAL,NAOMH FIONNBARRA,GAELIC ATHLETIC ASSOCIATION,
JOHNSTOWN,NORTH WEST,NA FIANNA G.A.A .,GAELIC ATHLETIC ASSOCIATION,
MARTIN SAVAGE,CENTRAL,ST. OLIVER PLUNKETTS GAA.,GAELIC ATHLETIC ASSOCIATION,
MILLBROOK,NORTH CENTRAL,ST. LAWR. O`TOOLE G.A.A.,GAELIC ATHLETIC ASSOCIATION,
